preprocessing_mode,chunking_strategy,overlap_size,fixed_length,vocab_top_n,vectorizer,query,avg_similarity,mistral_response_len
stem,sentence,4,,30,tfidf,What are the key themes discussed?,0.0,2022
stem,sentence,4,,10,,What are the key themes discussed?,0.0,2243
stem,sentence,4,,10,bow,What are the key themes discussed?,0.0,625
stem,sentence,4,,10,tfidf,What are the key themes discussed?,0.0,1885
stem,fixed-length,1,50.0,50,,What are the key themes discussed?,0.0,1366
stem,fixed-length,1,50.0,50,bow,What are the key themes discussed?,0.0,1337
stem,fixed-length,1,50.0,50,tfidf,What are the key themes discussed?,0.0,1829
stem,fixed-length,1,50.0,30,,What are the key themes discussed?,0.0,726
stem,fixed-length,1,50.0,30,bow,What are the key themes discussed?,0.0,1961
stem,fixed-length,1,50.0,30,tfidf,What are the key themes discussed?,0.0,1596
stem,fixed-length,1,50.0,10,,What are the key themes discussed?,0.0,1435
stem,fixed-length,1,50.0,10,bow,What are the key themes discussed?,0.0,1467
stem,fixed-length,1,50.0,10,tfidf,What are the key themes discussed?,0.0,1245
stem,fixed-length,1,100.0,50,,What are the key themes discussed?,0.0,2159
stem,fixed-length,1,100.0,50,bow,What are the key themes discussed?,0.0,881
stem,fixed-length,1,100.0,50,tfidf,What are the key themes discussed?,0.0,1241
stem,fixed-length,1,100.0,30,,What are the key themes discussed?,0.0,1212
stem,fixed-length,1,100.0,30,bow,What are the key themes discussed?,0.0,1232
stem,fixed-length,1,100.0,30,tfidf,What are the key themes discussed?,0.0,1134
stem,fixed-length,1,100.0,10,,What are the key themes discussed?,0.0,1404
stem,fixed-length,1,100.0,10,bow,What are the key themes discussed?,0.0,822
stem,fixed-length,1,100.0,10,tfidf,What are the key themes discussed?,0.0,886
stem,fixed-length,1,150.0,50,,What are the key themes discussed?,0.0,1865
stem,fixed-length,1,150.0,50,bow,What are the key themes discussed?,0.0,1090
stem,fixed-length,1,150.0,50,tfidf,What are the key themes discussed?,0.0,1282
stem,fixed-length,1,150.0,30,,What are the key themes discussed?,0.0,1150
stem,fixed-length,1,150.0,30,bow,What are the key themes discussed?,0.0,684
stem,fixed-length,1,150.0,30,tfidf,What are the key themes discussed?,0.0,1617
stem,fixed-length,1,150.0,10,,What are the key themes discussed?,0.0,1145
stem,fixed-length,1,150.0,10,bow,What are the key themes discussed?,0.0,1438
stem,fixed-length,1,150.0,10,tfidf,What are the key themes discussed?,0.0,1615
lemma,sentence,2,,50,,What are the key themes discussed?,0.0,556
lemma,sentence,2,,50,bow,What are the key themes discussed?,0.0,1167
lemma,sentence,2,,50,tfidf,What are the key themes discussed?,0.0,1470
lemma,sentence,2,,30,,What are the key themes discussed?,0.0,1145
lemma,sentence,2,,30,bow,What are the key themes discussed?,0.0,1582
lemma,sentence,2,,30,tfidf,What are the key themes discussed?,0.0,595
lemma,sentence,2,,10,,What are the key themes discussed?,0.0,1425
lemma,sentence,2,,10,bow,What are the key themes discussed?,0.0,1484
lemma,sentence,2,,10,tfidf,What are the key themes discussed?,0.0,1335
lemma,sentence,4,,50,,What are the key themes discussed?,0.0,1176
lemma,sentence,4,,50,bow,What are the key themes discussed?,0.0,1084
lemma,sentence,4,,50,tfidf,What are the key themes discussed?,0.0,1024
lemma,sentence,4,,30,,What are the key themes discussed?,0.0,1095
lemma,sentence,4,,30,bow,What are the key themes discussed?,0.0,1803
lemma,sentence,4,,30,tfidf,What are the key themes discussed?,0.0,1795
lemma,sentence,4,,10,,What are the key themes discussed?,0.0,961
lemma,sentence,4,,10,bow,What are the key themes discussed?,0.0,739
lemma,sentence,4,,10,tfidf,What are the key themes discussed?,0.0,1845
lemma,fixed-length,1,50.0,50,,What are the key themes discussed?,0.0,1084
lemma,fixed-length,1,50.0,50,bow,What are the key themes discussed?,0.0,1035
lemma,fixed-length,1,50.0,50,tfidf,What are the key themes discussed?,0.0,1267
lemma,fixed-length,1,50.0,30,,What are the key themes discussed?,0.0,1411
lemma,fixed-length,1,50.0,30,bow,What are the key themes discussed?,0.0,1612
lemma,fixed-length,1,50.0,30,tfidf,What are the key themes discussed?,0.0,875
lemma,fixed-length,1,50.0,10,,What are the key themes discussed?,0.0,1713
lemma,fixed-length,1,50.0,10,bow,What are the key themes discussed?,0.0,1349
lemma,fixed-length,1,50.0,10,tfidf,What are the key themes discussed?,0.0,1465
lemma,fixed-length,1,100.0,50,,What are the key themes discussed?,0.0,1146
lemma,fixed-length,1,100.0,50,bow,What are the key themes discussed?,0.0,1279
lemma,fixed-length,1,100.0,50,tfidf,What are the key themes discussed?,0.0,1250
lemma,fixed-length,1,100.0,30,,What are the key themes discussed?,0.0,1633
lemma,fixed-length,1,100.0,30,bow,What are the key themes discussed?,0.0,1201
lemma,fixed-length,1,100.0,30,tfidf,What are the key themes discussed?,0.0,1905
lemma,fixed-length,1,100.0,10,,What are the key themes discussed?,0.0,1241
lemma,fixed-length,1,100.0,10,bow,What are the key themes discussed?,0.0,1762
lemma,fixed-length,1,100.0,10,tfidf,What are the key themes discussed?,0.0,954
lemma,fixed-length,1,150.0,50,,What are the key themes discussed?,0.0,875
lemma,fixed-length,1,150.0,50,bow,What are the key themes discussed?,0.0,1284
lemma,fixed-length,1,150.0,50,tfidf,What are the key themes discussed?,0.0,1454
lemma,fixed-length,1,150.0,30,,What are the key themes discussed?,0.0,1137
lemma,fixed-length,1,150.0,30,bow,What are the key themes discussed?,0.0,1385
lemma,fixed-length,1,150.0,30,tfidf,What are the key themes discussed?,0.0,2511
lemma,fixed-length,1,150.0,10,,What are the key themes discussed?,0.0,1947
lemma,fixed-length,1,150.0,10,bow,What are the key themes discussed?,0.0,609
lemma,fixed-length,1,150.0,10,tfidf,What are the key themes discussed?,0.0,1925
